2019-11-22 16:46:34 INFO  Report:11 - Entering method::enterText()
2019-11-22 16:46:35 INFO  Report:11 - Exiting method::enterText() with 'Bangalore"
2019-11-22 16:46:35 INFO  Report:11 - Exiting method::enterFromLocation() with 'Bangalore"
2019-11-22 16:46:40 INFO  Report:11 - Entering method::enterToLocation()
2019-11-22 16:46:40 INFO  Report:11 - Entering method::enterText()
2019-11-22 16:46:40 INFO  Report:11 - Exiting method::enterText() with 'Delhi"
2019-11-22 16:46:40 INFO  Report:11 - Exiting method::enterToLocation() with 'Delhi"
2019-11-22 16:46:46 INFO  Report:11 - Entering method::clickOnActiveDate()
2019-11-22 16:46:46 INFO  Report:11 - Entering method::clickOnElement()
2019-11-22 16:46:46 INFO  Report:11 - Exiting method::clickOnElement() with 'true"
2019-11-22 16:46:46 INFO  Report:11 - Exiting method::clickOnActiveDate() with 'true"
2019-11-22 16:46:46 INFO  Report:11 - Entering method::clickOnSearchButton()
2019-11-22 16:46:46 INFO  Report:11 - Entering method::clickOnElement()
2019-11-22 16:46:47 INFO  Report:11 - Exiting method::clickOnElement() with 'true"
2019-11-22 16:46:47 INFO  Report:11 - Exiting method::clickOnSearchButton() with 'true"
2019-11-22 16:46:47 INFO  Report:11 - Entering method::isSearchSummaryDisplayed()
2019-11-22 16:46:47 INFO  Report:11 - Entering method::waitForElementToBecomeVisible()
2019-11-22 16:46:47 INFO  Report:11 - Exiting method::waitForElementToBecomeVisible() with 'true"
2019-11-22 16:46:47 INFO  Report:11 - Exiting method::isSearchSummaryDisplayed() with 'true"
2019-11-22 16:46:47 INFO  Report:11 - Entering method::deleteCookies()
2019-11-22 16:46:51 INFO  Report:11 - Exiting method::deleteCookies() with 'true"
2019-11-22 16:46:51 INFO  Report:11 - Entering method::closeBrowser()
2019-11-22 16:46:51 INFO  Report:11 - Exiting method::closeBrowser() with 'true"
2019-11-22 16:46:51 INFO  Report:11 - Entering method::quitDriver()
2019-11-22 16:46:52 INFO  Report:11 - Exiting method::quitDriver() with 'true"
